id,latitude,longitude
1,5.129058937,-73.89588519
2,4.733274,-74.266156
3,4.584585267,-74.21987793
4,4.596229,-74.194715
5,4.525166711,-74.2435349
6,4.695702,-74.215583
7,4.719539118,-73.96873782
8,4.530213886,-74.14221714
9,5.06615,-73.8781
10,5.010012989,-74.00274345
11,5.540477,-73.632574
12,5.054945,-73.976986
13,4.939167,-74.010833
14,4.716524889,-74.21171239
15,4.97639,-73.970698
16,4.298055,-74.8191667
17,4.862871,-74.056341
18,4.940316,-73.970698
19,4.721387,-74.23661
20,5.2,-73.883
21,5.537028,-73.635303
22,4.809444,-74.1025
23,4.594991,-74.204826
